,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
5,2006-10-27,AMZN,1.9119999408721924,1.9119999408721924,1.9190000295639038,1.9075000286102295,199068000.0,4.0,0.016953923013892425,2.026120677856187,1.4860459811810849,95.73796526298685,74.91476506653305,95.95739287645037,1.756083329518636,1.756083329518636,0.0
5,2006-10-27,BIDU,8.899999618530273,8.899999618530273,9.100000381469727,8.54800033569336,25264000.0,4.0,-0.01571706521218985,8.987655956470135,8.288677534537353,26.699395673693374,79.19642801997136,11.729931458810384,8.638166745503744,8.638166745503744,0.0
5,2006-10-27,GOOG,11.747528076171875,11.835637092590332,12.085700035095215,12.052325248718262,265150137.0,4.0,0.03511346174486896,12.390687669596195,11.242561931132157,87.51653911980426,36.766963052296184,41.21058864525018,11.816624800364176,11.816624800364176,0.0
5,2006-10-27,INTC,12.552513122558594,21.100000381469727,21.770000457763672,21.68000030517578,99919800.0,4.0,0.028195586980743315,21.928873777448548,21.037792762061546,88.28152544257115,-24.146929200435284,73.920105581873,21.483333269755047,21.483333269755047,0.0
5,2006-10-27,MSFT,19.978559494018555,28.34000015258789,28.790000915527344,28.489999771118164,89060100.0,4.0,0.0015969159007198641,28.571225336372407,28.19877448560839,52.280669269419256,111.86456750611578,72.31625407616743,28.3849999109904,28.3849999109904,0.0
5,2006-10-27,NVDA,0.49478527903556824,0.539667010307312,0.5764999985694885,0.5640000104904175,566988000.0,4.0,0.0016037305880642894,0.5698949932578189,0.515104985284509,75.8637817109298,91.46241581033098,100.0,0.5424999892711639,0.5424999892711639,0.0
5,2006-10-27,QCOM,23.681049346923828,37.13999938964844,38.0,37.91999816894531,13137900.0,4.0,-0.01478086881526508,38.81587652951824,36.597457363304024,44.26051707826367,-23.37379064013389,33.488964479280895,37.70666694641113,37.70666694641113,0.0
6,2006-10-30,AAPL,2.4118802547454834,2.872143030166626,2.8892860412597656,2.856786012649536,499917600.0,0.0,0.0021118360078538068,2.961805161688118,2.8051336609219195,57.39845024687549,-73.5651003433701,10.294589225730252,2.8834694113050188,2.8834694113050188,0.0
6,2006-10-30,AMD,21.31999969482422,21.31999969482422,21.5,20.959999084472656,19939700.0,0.0,0.03433031315146806,21.762073734557532,19.89221169635067,46.9173191278369,60.077136422743386,53.96322125105984,20.8271427154541,20.8271427154541,0.0
6,2006-10-30,AMZN,1.9075000286102295,1.9075000286102295,1.9170000553131104,1.902500033378601,137648000.0,0.0,0.0191344029679692,2.0472165971814964,1.5067834058157659,94.0139837435998,62.881592085393464,94.47865332317133,1.7770000014986311,1.7770000014986311,0.0
6,2006-10-30,BIDU,9.600000381469727,9.600000381469727,9.619999885559082,9.050000190734863,54398000.0,0.0,0.007128631961418108,9.142762087664622,8.251238101980327,59.716551375749454,200.75312824238796,55.578093190396416,8.697000094822474,8.697000094822474,0.0
6,2006-10-30,GOOG,11.78139591217041,11.869758605957031,11.966646194458008,11.826172828674316,263508004.0,0.0,0.026273593715947285,12.342083810798231,11.293893798018734,66.79586626311419,-2.3260659924024796,26.855112848757145,11.817988804408483,11.817988804408483,0.0
